Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Ferrisymplesite,Fe3+3(AsO4)2(OH)3·5H2O,Fe3(AsO4)2(OH)3·5H2O,Fsym,
Ferri-taramite,Na(NaCa)(Mg3Fe3+2)(Si6Al2)O22(OH)2,Na(NaCa)(Mg3Fe2)(Si6Al2)O22(OH)2,Fi-trm,
Ferrivauxite,Fe3+Al2(PO4)2(OH)3·5H2O,FeAl2(PO4)2(OH)3·5H2O,Fvx,
Ferri-winchite,[box](NaCa)(Mg4Fe3+)Si8O22(OH)2," (NaCa)(Mg4Fe)Si8O22(OH)2",Fwnc,
Ferro-actinolite,[box]Ca2(Mg2.5-0.0Fe2+2.5-5.0)Si8O22(OH)2," Ca2(Mg2.5-0.0Fe2.5-5.0)Si8O22(OH)2",Fact,
Ferroalluaudite,NaFe2+Fe3+2(PO4)3,NaFeFe2(PO4)3,Fald,NaFe3(PO4)3
Ferroaluminoceladonite,KFe2+AlSi4O10(OH)2,KFeAlSi4O10(OH)2,Facel,
Ferro-anthophyllite,[box]Fe2+2Fe2+5Si8O22(OH)2," Fe2Fe5Si8O22(OH)2",Fath,
Ferroberaunite,Fe2+Fe3+5(PO4)4(OH)5·6H2O,FeFe5(PO4)4(OH)5·6H2O,Fbru,Fe6(PO4)4(OH)5·6H2O
Ferrobobfergusonite,[box]Na2Fe2+5Fe3+Al(PO4)6," Na2Fe5FeAl(PO4)6",Fbfg,
Ferro-bosiite,NaFe3+3(Al4Fe2+2)(Si6O18)(BO3)3(OH)3O,NaFe3(Al4Fe2)(Si6O18)(BO3)3(OH)3O,Fbos,
Ferrobustamite,CaFe2+Si2O6,CaFeSi2O6,Fbst,
Ferrocarpholite,Fe2+Al2Si2O6(OH)4,FeAl2Si2O6(OH)4,Fcar,
Ferroceladonite,KFe2+Fe3+Si4O10(OH)2,KFeFeSi4O10(OH)2,Fcel,KFe2Si4O10(OH)2
Ferrochiavennite,"Ca1-2Fe[(Si,Al,Be)5Be2O13(OH)2]·2H2O","Ca1-2Fe[(Si,Al,Be)5Be2O13(OH)2]·2H2O",Fcve,
Ferro-edenite,NaCa2Fe2+5(Si7Al)O22(OH)2,NaCa2Fe5(Si7Al)O22(OH)2,Fed,
Ferroefremovite,(NH4)2Fe2+2(SO4)3,(NH4)2Fe2(SO4)3,Fefr,
Ferroericssonite,BaFe2+2Fe3+(Si2O7)O(OH),BaFe2Fe(Si2O7)O(OH),Fers,
Ferro-ferri-fluoro-leakeite,NaNa2(Fe2+2Fe3+2Li)Si8O22F2,NaNa2(Fe2Fe2Li)Si8O22F2,Fffllk,
Ferro-ferri-holmquistite,[box]Li2(Fe2+3Fe3+2)(Si8O22)(OH)2," Li2(Fe3Fe2)(Si8O22)(OH)2",Ffhlm,
Ferro-ferri-hornblende,[box]Ca2(Fe2+4Fe3+)(Si7Al)O22(OH)2," Ca2(Fe4Fe)(Si7Al)O22(OH)2",Ffhbl,
Ferro-ferri-katophorite,Na(NaCa)(Fe2+4Fe3+)(Si7Al)O22(OH)2,Na(NaCa)(Fe4Fe)(Si7Al)O22(OH)2,Ffktp,
Ferro-ferri-nyboite,NaNa2(Fe2+3Fe3+2)(Si7Al)O22(OH)2,NaNa2(Fe3Fe2)(Si7Al)O22(OH)2,Ffnyb,
Ferro-ferri-obertiite,NaNa2(Fe2+3Fe3+Ti)Si8O22O2,NaNa2(Fe3FeTi)Si8O22O2,Ffob,
Ferro-ferri-pedrizite,NaLi2(Fe2+2Fe3+2Li)Si8O22(OH)2,NaLi2(Fe2Fe2Li)Si8O22(OH)2,Ffpd,
Ferrofettelite,[Ag6As2S7][Ag10FeAs2S8],[Ag6As2S7][Ag10FeAs2S8],Fftt,
Ferro-fluoro-edenite,NaCa2Fe2+5(Si7AlO22)F2,NaCa2Fe5(Si7AlO22)F2,Ffed,
Ferro-fluoro-pedrizite,NaLi2(Fe2+2Al2Li)Si8O22F2,NaLi2(Fe2Al2Li)Si8O22F2,Fflpd,
Ferro-gedrite,[box]Fe2+2(Fe2+3Al2)(Si6Al2)O22(OH)2," Fe2(Fe3Al2)(Si6Al2)O22(OH)2",Fged,
Ferro-glaucophane,[box]Na2(Fe2+3Al2)Si8O22(OH)2," Na2(Fe3Al2)Si8O22(OH)2",Fgln,
Ferrohexahydrite,Fe2+(SO4)·6H2O,Fe(SO4)·6H2O,Fhhy,FeSO4·6H2O
Ferrohogbomite-2N2S,"(Fe,Mg,Zn,Al)3(Al,Ti,Fe)8O15(OH)","(Fe,Mg,Zn,Al)3(Al,Ti,Fe)8O15(OH)",Fhög-2N2S,
Ferro-holmquistite,[box]Li2(Fe2+3Al2)Si8O22(OH)2," Li2(Fe3Al2)Si8O22(OH)2",Fhlm,
Ferro-hornblende,[box]Ca2(Fe2+4Al)(Si7Al)O22(OH)2," Ca2(Fe4Al)(Si7Al)O22(OH)2",Fhbl,
Ferroindialite,"(Fe2+,Mg)2Al4Si5O18","(Fe,Mg)2Al4Si5O18",Find,
Ferro-katophorite,Na(NaCa)(Fe2+4Al)(Si7Al)O22(OH)2,Na(NaCa)(Fe4Al)(Si7Al)O22(OH)2,Foktp,
Ferrokentbrooksite,"Na15Ca6Fe2+3Zr3Nb(Si25O73)(O,OH,H2O)3(F,Cl)2","Na15Ca6Fe3Zr3Nb(Si25O73)(O,OH,H2O)3(F,Cl)2",Fktb,
Ferrokesterite,Cu2FeSnS4,Cu2FeSnS4,Fkës,
Ferrokinoshitalite,BaFe2+3(Si2Al2)O10(OH)2,BaFe3(Si2Al2)O10(OH)2,Fkns,
Ferrolaueite,Fe2+Fe3+2(PO4)2(OH)2·8H2O,FeFe2(PO4)2(OH)2·8H2O,Flae,Fe3(PO4)2(OH)2·8H2O
Ferromerrillite,Ca9NaFe2+(PO4)7,Ca9NaFe(PO4)7,Fmer,
Ferronickelplatinum,Pt2FeNi,Pt2FeNi,Fnpt,
Ferronigerite-2N1S,"(Al,Fe,Zn)2(Al,Sn)6O11(OH)","(Al,Fe,Zn)2(Al,Sn)6O11(OH)",Fng-2N1S,
Ferronigerite-6N6S,"(Al,Fe,Zn)3(Al,Sn,Fe)8O15(OH)","(Al,Fe,Zn)3(Al,Sn,Fe)8O15(OH)",Fng-6N6S,
Ferronordite-(Ce),Na3SrCeFe2+Si6O17,Na3SrCeFeSi6O17,Fnor-Ce,
Ferronordite-(La),Na3SrLaFe2+Si6O17,Na3SrLaFeSi6O17,Fnor-La,
Ferro-papikeite,NaFe2+2(Fe2+3Al2)(Si5Al3)O22(OH)2,NaFe2(Fe3Al2)(Si5Al3)O22(OH)2,Fpa,
Ferro-pargasite,NaCa2(Fe2+4Al)(Si6Al2)O22(OH)2,NaCa2(Fe4Al)(Si6Al2)O22(OH)2,Fprg,
Ferro-pedrizite,NaLi2(Fe2+2Al2Li)Si8O22(OH)2,NaLi2(Fe2Al2Li)Si8O22(OH)2,Fopd,
Ferroqingheiite,Na2Fe2+MgAl(PO4)3,Na2FeMgAl(PO4)3,Qin-Fe2+,
Ferrorhodonite,CaMn3Fe(Si5O15),CaMn3Fe(Si5O15),Frdn,
Ferro-richterite,Na(NaCa)Fe2+5Si8O22(OH)2,Na(NaCa)Fe5Si8O22(OH)2,Frct,
Ferrorockbridgeite,"(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O)","(Fe,Mn)2Fe3(PO4)3(OH)4(H2O)",Forck,
Ferrorosemaryite,[box]NaFe2+(Fe3+Al)(PO4)3," NaFe(FeAl)(PO4)3",Frmy,
Ferrosaponite,"Ca0.3(Fe2+,Mg,Fe3+)3(Si,Al)4O10(OH)2·4H2O","Ca0.3(Fe,Mg,Fe)3(Si,Al)4O10(OH)2·4H2O",Fsap,
Ferroselite,FeSe2,FeSe2,Fse,
Ferrosilite,Fe2+2Si2O6,Fe2Si2O6,Fs,
Ferroskutterudite,FeAs3,FeAs3,Fskt,
Ferrostalderite,CuFe2TlAs2S6,CuFe2TlAs2S6,Fstd,
Ferrostrunzite,Fe2+Fe3+2(PO4)2(OH)2·6H2O,FeFe2(PO4)2(OH)2·6H2O,Fostz,Fe3(PO4)2(OH)2·6H2O
Ferrotaaffeite-2N2S,"(Fe2+,Mg,Zn)3Al8BeO16","(Fe,Mg,Zn)3Al8BeO16",Ftf-2N'2S,
Ferrotaaffeite-6N3S,BeFe2+2Al6O12,BeFe2Al6O12,Ftf-6N'3S,
Ferro-taramite,Na(NaCa)(Fe2+3Al2)(Si6Al2)O22(OH)2,Na(NaCa)(Fe3Al2)(Si6Al2)O22(OH)2,Ftrm,
Ferrotitanowodginite,Fe2+TiTa2O8,FeTiTa2O8,Ftwdg,
Ferrotochilinite,FeS·≈0.85[Fe(OH)2],FeS·≈0.85[Fe(OH)2],Ftch,
Ferrotorryweiserite,Rh5Fe10S16,Rh5Fe10S16,Ftyw,
Ferro-tschermakite,[box]Ca2(Fe2+3Al2)(Si6Al2)O22(OH)2," Ca2(Fe3Al2)(Si6Al2)O22(OH)2",Fts,
Ferrotychite,Na6Fe2+2(CO3)4(SO4),Na6Fe2(CO3)4(SO4),Ftyc,
Ferrovalleriite,"2[(Fe,Cu)S]·1.53[(Fe,Al,Mg)(OH)2]","2[(Fe,Cu)S]·1.53[(Fe,Al,Mg)(OH)2]",Fval,
Ferrovorontsovite,(Fe5Cu)TlAs4S12,(Fe5Cu)TlAs4S12,Fvor,
Ferrowodginite,Fe2+Sn4+Ta2O8,FeSnTa2O8,Fwdg,
Ferrowyllieite,NaNaFe2+(Fe2+Al)(PO4)3,NaNaFe(FeAl)(PO4)3,Fwyl,
Feruvite,CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3(OH),CaFe3(Al5Mg)(Si6O18)(BO3)3(OH)3(OH),Fuvt,
Fervanite,Fe3+4V5+4O16·5H2O,Fe4V4O16·5H2O,Fvn,
Fetiasite,"(Fe2+,Fe3+,Ti4+)3O2As3+2O5","(Fe,Fe,Ti)3O2As2O5",Fet,
Fibroferrite,Fe3+(SO4)(OH)·5H2O,Fe(SO4)(OH)·5H2O,Ffr,
Filipstadite,(Fe3+0.5Sb5+0.5)Mn2+2O4,(Fe0.5Sb0.5)Mn2O4,Fps,
Fleisstalite,Fe2+(SO3)·3H2O,Fe(SO3)·3H2O,Fss,FeSO3·3H2O
Florenskyite,FeTiP,FeTiP,Fsk,
Fluorannite,KFe2+3(Si3Al)O10F2,KFe3(Si3Al)O10F2,Fann,
Fluorarrojadite-(BaFe),Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2,Na2CaBaFeFe13Al(PO4)11(PO3OH)F2,Fajd-BaFe,Na2CaBaFe14Al(PO4)11(PO3OH)F2
Fluorarrojadite-(BaNa),BaNa4CaFe13Al(PO4)11(PO3OH)F2,BaNa4CaFe13Al(PO4)11(PO3OH)F2,Fajd-BaNa,
Fluorbarytolamprophyllite,"(Ba,Sr,K)2[(Na,Fe2+)3TiF2][Ti2(Si2O7)2O2]","(Ba,Sr,K)2[(Na,Fe)3TiF2][Ti2(Si2O7)2O2]",Fblmp,
Fluor-buergerite,NaFe3+3Al6(Si6O18)(BO3)3O3F,NaFe3Al6(Si6O18)(BO3)3O3F,Fbu,
Fluoro-riebeckite,[box]Na2(Fe2+3Fe3+2)Si8O22F2," Na2(Fe3Fe2)Si8O22F2",Frbk,
Fluorotetraferriphlogopite,KMg3Fe3+Si3O10F2,KMg3FeSi3O10F2,Ftfphl,
Fluor-schorl,NaFe2+3Al6(Si6O18)(BO3)3(OH)3F,NaFe3Al6(Si6O18)(BO3)3(OH)3F,Fsrl,
Flurlite,Zn2+Zn2+3Fe3+(PO4)3(OH)2(H2O)7·2H2O,ZnZn3Fe(PO4)3(OH)2(H2O)7·2H2O,Flu,
Foitite,[box](Fe2+2Al)Al6(Si6O18)(BO3)3(OH)3(OH)," (Fe2Al)Al6(Si6O18)(BO3)3(OH)3(OH)",Foi,
Fougerite,Fe2+4Fe3+2(OH)12(CO3)·3H2O,Fe4Fe2(OH)12(CO3)·3H2O,Fgè,"Green Rust",Fe6(OH)12(CO3)·3H2O,GR1(CO32-)
Franckeite,Pb21.7Sn9.3Fe4.0Sb8.1S56.9,Pb21.7Sn9.3Fe4.0Sb8.1S56.9,Fke,
Franklinfurnaceite,Ca2Mn2+3Mn3+Fe3+Zn2Si2O10(OH)8,Ca2Mn3MnFeZn2Si2O10(OH)8,Fkf,
Franklinite,ZnFe3+2O4,ZnFe2O4,Frk,Zn2+Fe3+2O4
Freudenbergite,Na(Ti4+3Fe3+)O8,Na(Ti3Fe)O8,Fdb,
Frohbergite,FeTe2,FeTe2,Frb,
Frondelite,(Mn2+0.5Fe3+0.5)2Fe3+3(PO4)3(OH)5,(Mn0.5Fe0.5)2Fe3(PO4)3(OH)5,Fnd,
Fukuchilite,Cu3FeS8,Cu3FeS8,Fuk,
Gabrielsonite,PbFe3+(AsO3)O,PbFe(AsO3)O,Gbr,
Gadolinite-(Ce),Ce2Fe2+Be2O2(SiO4)2,Ce2FeBe2O2(SiO4)2,Gad-Ce,
Gadolinite-(Nd),Nd2Fe2+Be2O2(SiO4)2,Nd2FeBe2O2(SiO4)2,Gad-Nd,
Gadolinite-(Y),Y2Fe2+Be2O2(SiO4)2,Y2FeBe2O2(SiO4)2,Gad-Y,
Galileiite,NaFe2+4(PO4)3,NaFe4(PO4)3,Gll,
Gamagarite,Ba2Fe3+(VO4)2(OH),Ba2Fe(VO4)2(OH),Gam,
Garavellite,FeSbBiS4,FeSbBiS4,Grv,
Gartrellite,PbCuFe3+(AsO4)2(OH)·H2O,PbCuFe(AsO4)2(OH)·H2O,Gtl,
Garutiite,"(Ni,Fe,Ir)","(Ni,Fe,Ir)",Gar,
Garyansellite,Mg2Fe3+(PO4)2(OH)·2H2O,Mg2Fe(PO4)2(OH)·2H2O,Gas,
Gatelite-(Ce),"(Ca,Ce)4(Al,Mg,Fe)4(Si2O7)(SiO4)3(O,F,OH)3","(Ca,Ce)4(Al,Mg,Fe)4(Si2O7)(SiO4)3(O,F,OH)3",Gat-Ce,
Gayite,NaMnFe5(PO4)4(OH)6·2H2O,NaMnFe5(PO4)4(OH)6·2H2O,Gy,
Geffroyite,"(Cu,Fe,Ag)9Se8","(Cu,Fe,Ag)9Se8",Gef,
Gengenbachite,KFe3(H2PO4)2(HPO4)4·6H2O,KFe3(H2PO4)2(HPO4)4·6H2O,Gnb,
Georgbarsanovite,"Na12(Mn,Sr,REE)3Ca6Fe2+3Zr3NbSi25O76Cl2·H2O","Na12(Mn,Sr,REE)3Ca6Fe3Zr3NbSi25O76Cl2·H2O",Gba,
Germanite,Cu13Fe2Ge2S16,Cu13Fe2Ge2S16,Ger,
Giacovazzoite,K5Fe3+3O(SO4)6·10H2O,K5Fe3O(SO4)6·10H2O,Gvz,
Giessenite,"(Cu,Fe)2Pb26.4(Bi,Sb)19.6S57","(Cu,Fe)2Pb26.4(Bi,Sb)19.6S57",Gie,
Gillespite,BaFe2+Si4O10,BaFeSi4O10,Gls,
Giniite,Fe2+Fe3+4(PO4)4(OH)2·2H2O,FeFe4(PO4)4(OH)2·2H2O,Gin,Fe5(PO4)4(OH)2·2H2O
Gjerdingenite-Fe,"K2Fe(Nb,Ti)4(Si4O12)2(O,OH)4·6H2O","K2Fe(Nb,Ti)4(Si4O12)2(O,OH)4·6H2O",Gje-Fe,
Gladiusite,Fe3+2Fe2+4(PO4)(OH)11·H2O,Fe2Fe4(PO4)(OH)11·H2O,Gds,
Glaucodot,(Co0.5Fe0.5)AsS,(Co0.5Fe0.5)AsS,Gl,
Gmalimite,K6[box]Fe2+24S27,K6 Fe24S27,Gma,
Godlevskite,"(Ni,Fe)9S8","(Ni,Fe)9S8",Go,
Goethite,FeO(OH),FeO(OH),Gth,α-FeOOH,FeOOH,α-FeO(OH)
Goldichite,KFe3+(SO4)2·4H2O,KFe(SO4)2·4H2O,Gol,
Golyshevite,Na10Ca9Zr3Fe2SiNb(Si3O9)2(Si9O27)2(OH)3(CO3)·H2O,Na10Ca9Zr3Fe2SiNb(Si3O9)2(Si9O27)2(OH)3(CO3)·H2O,Gsv,
Gonyerite,Mn2+5Fe3+(Si3Fe3+O10)(OH)8,Mn5Fe(Si3FeO10)(OH)8,Gye,
Gorbunovite,"CsLi2(Ti,Fe)Si4O10(F,OH,O)2","CsLi2(Ti,Fe)Si4O10(F,OH,O)2",Gbv,
Gorerite,CaAlFe3+11O19,CaAlFe11O19,Gor,
Gormanite,Fe2+3Al4(PO4)4(OH)6·2H2O,Fe3Al4(PO4)4(OH)6·2H2O,Gm,
Gortdrumite,Cu24Fe2Hg9S23,Cu24Fe2Hg9S23,Gdr,
Graeserite,Fe3+4Ti3As3+O13(OH),Fe4Ti3AsO13(OH),Gsr,
Graftonite,Fe2+Fe2+2(PO4)2,FeFe2(PO4)2,Gft,Fe3(PO4)2
Graftonite-(Ca),CaFe2+2(PO4)2,CaFe2(PO4)2,Gft-Ca,
Graftonite-(Mn),MnFe2+2(PO4)2,MnFe2(PO4)2,Gft-Mn,
Gramaccioliite-(Y),"(Pb,Sr)(Y,Mn)Fe3+2(Ti,Fe3+)18O38","(Pb,Sr)(Y,Mn)Fe2(Ti,Fe)18O38",Gmc-Y,
Grattarolaite,Fe3+3O3(PO4),Fe3O3(PO4),Gra,
Graulichite-(Ce),CeFe3+3(AsO4)2(OH)6,CeFe3(AsO4)2(OH)6,Grl-Ce,
Graulichite-(La),LaFe3+3(AsO4)2(OH)6,LaFe3(AsO4)2(OH)6,Grl-La,
Greenalite,"(Fe2+,Fe3+)2-3Si2O5(OH)4","(Fe,Fe)2-3Si2O5(OH)4",Gre,
Greenwoodite,"Ba2-x(V3+OH)xV3+9(Fe3+,Fe2+)2Si2O22","Ba2-x(VOH)xV9(Fe,Fe)2Si2O22",Gwd,
Greifensteinite,Ca2Be4Fe2+5(PO4)6(OH)4·6H2O,Ca2Be4Fe5(PO4)6(OH)4·6H2O,Gfs,
Greigite,Fe2+Fe3+2S4,FeFe2S4,Grg,Fe3S4
Grigorievite,Cu3Fe3+2Al2(VO4)6,Cu3Fe2Al2(VO4)6,Ggv,
Griphite,"Ca(Mn2+,Na,Li)6Fe2+Al2(PO4)6(F,OH)2","Ca(Mn,Na,Li)6FeAl2(PO4)6(F,OH)2",Gph,
Grischunite,NaCa2Mn2+5Fe3+(AsO4)6·2H2O,NaCa2Mn5Fe(AsO4)6·2H2O,Gcn,
Grunerite,[box]Fe2+2Fe2+5Si8O22(OH)2," Fe2Fe5Si8O22(OH)2",Gru,
Gudmundite,FeSbS,FeSbS,Gu,
Guidottiite,Mn2Fe3+(SiFe3+)O5(OH)4,Mn2Fe(SiFe)O5(OH)4,Gdt,
Guildite,CuFe3+(SO4)2(OH)·4H2O,CuFe(SO4)2(OH)·4H2O,Gdi,
Gunterblassite,"(K,Ca,Ba,Na,[box])3Fe[(Si,Al)13O25(OH,O)4]·7H2O","(K,Ca,Ba,Na, )3Fe[(Si,Al)13O25(OH,O)4]·7H2O",Gbl,
Gupeiite,Fe3Si,Fe3Si,Gup,
Haapalaite,"2[(Fe,Ni)S]·1.61[(Mg,Fe)(OH)2]","2[(Fe,Ni)S]·1.61[(Mg,Fe)(OH)2]",Ha,
Hagendorfite,Na2MnFe2+Fe3+(PO4)3,Na2MnFeFe(PO4)3,Hag,Na2MnFe2(PO4)3
Haggertyite,BaFe2+4Fe3+2Ti5MgO19,BaFe4Fe2Ti5MgO19,Hgt,
Haigerachite,KFe3+3(H2PO4)6(HPO4)2·4H2O,KFe3(H2PO4)6(HPO4)2·4H2O,Hga,
Haitaite-(La),LaU4+Fe3+2(Ti13Fe2+4Fe3+)O38,LaUFe2(Ti13Fe4Fe)O38,Hti-La,
Hakite-(Fe),Cu6(Cu4Fe2)Sb4Se13,Cu6(Cu4Fe2)Sb4Se13,Hak-Fe,
Halilsarpite,[Mg(H2O)6][CaAs3+2(Fe3+2.67Mo6+0.33)(AsO4)2O7],[Mg(H2O)6][CaAs2(Fe2.67Mo0.33)(AsO4)2O7],Hsp,
Halotrichite,Fe2+Al2(SO4)4·22H2O,FeAl2(SO4)4·22H2O,Hth,
Hancockite,CaPb(Al2Fe3+)[Si2O7][SiO4]O(OH),CaPb(Al2Fe)[Si2O7][SiO4]O(OH),Hnc,
Hanswilkeite,KFeS2,KFeS2,Hsw,
Hapkeite,Fe2Si,Fe2Si,Hpk,
Harmunite,CaFe2O4,CaFe2O4,Hmu,
Harrisonite,CaFe2+6(SiO4)2(PO4)2,CaFe6(SiO4)2(PO4)2,Hrs,
Hastingsite,NaCa2(Fe2+4Fe3+)(Si6Al2)O22(OH)2,NaCa2(Fe4Fe)(Si6Al2)O22(OH)2,Hst,
Hatertite,NaNaCa(Cu2+Fe3+)(AsO4)3,NaNaCa(CuFe)(AsO4)3,Htt,
Hauckite,Fe3+3Mg24Zn18(SO4)4(CO3)2(OH)81,Fe3Mg24Zn18(SO4)4(CO3)2(OH)81,Hck,
Hawthorneite,BaMgTi3Cr4Fe2+2Fe3+2O19,BaMgTi3Cr4Fe2Fe2O19,Hwt,
Haxonite,"(Fe,Ni)23C6","(Fe,Ni)23C6",Hax,
Haycockite,Cu4Fe5S8,Cu4Fe5S8,Hyc,
Hedenbergite,CaFe2+Si2O6,CaFeSi2O6,Hd,
Heideite,"(Fe,Cr)1.15(Ti,Fe)2S4","(Fe,Cr)1.15(Ti,Fe)2S4",Hei,
Hematite,Fe2O3,Fe2O3,Hem,α-Fe2O3,Haematite
Hematophanite,"Pb4Fe3+3O8(Cl,OH)","Pb4Fe3O8(Cl,OH)",Hph,
Hemleyite,FeSiO3,FeSiO3,Hle,
Hemloite,"(Ti,V3+,Fe3+,Al)12As3+2O23(OH)","(Ti,V,Fe,Al)12As2O23(OH)",Hlo,
Henrymeyerite,Ba(Ti7Fe2+)O16,Ba(Ti7Fe)O16,Hmy,
Hentschelite,CuFe3+2(PO4)2(OH)2,CuFe2(PO4)2(OH)2,Hsl,
Hercynite,Fe2+Al2O4,FeAl2O4,Hc,
Heterosite,Fe3+(PO4),Fe(PO4),Het,
Hexaferrum,"(Fe,Os,Ru,Ir)","(Fe,Os,Ru,Ir)",Hfe,ε-iron
Hexamolybdenum,"(Mo,Ru,Fe,Ir,Os)","(Mo,Ru,Fe,Ir,Os)",Hmo,
Heyite,Pb5Fe2+2O4(VO4)2,Pb5Fe2O4(VO4)2,Hyt,
Hezuolinite,"(Sr,REE)4Zr(Ti,Fe3+,Fe2+)2Ti2O8(Si2O7)2","(Sr,REE)4Zr(Ti,Fe,Fe)2Ti2O8(Si2O7)2",Hez,
Hibbingite,Fe2+2(OH)3Cl,Fe2(OH)3Cl,Hib,
Hilarionite,Fe3+2(SO4)(AsO4)(OH)·6H2O,Fe2(SO4)(AsO4)(OH)·6H2O,Hrn,
