Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Stefanweissite,"(Ca,REE)2Zr2(Nb,Ti)(Ti,Nb)2Fe2+O14","(Ca,REE)2Zr2(Nb,Ti)(Ti,Nb)2FeO14",Swi,
Steinmetzite,Zn2Fe3+(PO4)2(OH)·3H2O,Zn2Fe(PO4)2(OH)·3H2O,Snm,
Stenhuggarite,CaFe3+Sb3+As3+2O7,CaFeSbAs2O7,Shu,
Stepanovite,NaMgFe3+(C2O4)3·9H2O,NaMgFe(C2O4)3·9H2O,Stpn,
Sternbergite,AgFe2S3,AgFe2S3,Srn,
Stewartite,Mn2+Fe3+2(PO4)2(OH)2·8H2O,MnFe2(PO4)2(OH)2·8H2O,Stw,
Stilpnomelane,"(K,Ca,Na)(Fe,Mg,Al)8(Si,Al)12(O,OH)36·nH2O","(K,Ca,Na)(Fe,Mg,Al)8(Si,Al)12(O,OH)36·nH2O",Stp,
Stoppaniite,Fe3+2Be3Si6O18·H2O,Fe2Be3Si6O18·H2O,Spp,
Stottite,Fe2+Ge(OH)6,FeGe(OH)6,Sto,
Strengite,Fe3+(PO4)·2H2O,Fe(PO4)·2H2O,Stg,
Strontiochevkinite,"(Sr,Ce,La)4Fe2+(Ti,Zr)4O8(Si2O7)2","(Sr,Ce,La)4Fe(Ti,Zr)4O8(Si2O7)2",Scvk,
Strontiojoaquinite,"(Na,Fe)2Ba2Sr2Ti2(SiO3)8(O,OH)2·H2O","(Na,Fe)2Ba2Sr2Ti2(SiO3)8(O,OH)2·H2O",Sjq,
Strontio-orthojoaquinite,NaSr4Fe3+Ti2Si8O24(OH)4,NaSr4FeTi2Si8O24(OH)4,Sojq,
Strontioperloffite,SrMn2+2Fe3+2(PO4)3(OH)3,SrMn2Fe2(PO4)3(OH)3,Splf,
Strontiopharmacosiderite,Sr0.5Fe4[(AsO4)3(OH)4]·4H2O,Sr0.5Fe4[(AsO4)3(OH)4]·4H2O,Spsd,
Strunzite,Mn2+Fe3+2(PO4)2(OH)2·6H2O,MnFe2(PO4)2(OH)2·6H2O,Snz,
Sturmanite,Ca6Fe3+2(SO4)2.5[B(OH)4](OH)12·25H2O,Ca6Fe2(SO4)2.5[B(OH)4](OH)12·25H2O,Strm,
Suessite,Fe3Si,Fe3Si,Sss,
Sugakiite,"Cu(Fe,Ni)8S8","Cu(Fe,Ni)8S8",Sgk,
Sugilite,KNa2Fe3+2(Li3Si12)O30,KNa2Fe2(Li3Si12)O30,Sug,
Suhailite,(NH4)Fe2+3(Si3Al)O10(OH)2,(NH4)Fe3(Si3Al)O10(OH)2,Suh,
Sveinbergeite,(H2O)2[Ca(H2O)](Fe2+6Fe3+)Ti2(Si4O12)2O2(OH)4[(OH)(H2O)],(H2O)2[Ca(H2O)](Fe6Fe)Ti2(Si4O12)2O2(OH)4[(OH)(H2O)],Sve,
Swinefordite,"Ca0.2(Li,Al,Mg,Fe)3(Si,Al)4O10(OH,F)2·nH2O","Ca0.2(Li,Al,Mg,Fe)3(Si,Al)4O10(OH,F)2·nH2O",Sfd,
Symplesite,Fe2+3(AsO4)2·8H2O,Fe3(AsO4)2·8H2O,Sym,
Szomolnokite,Fe(SO4)·H2O,Fe(SO4)·H2O,Szo,FeSO4·H2O
Taenite,"(Ni,Fe)","(Ni,Fe)",Tae,
Talnakhite,Cu9Fe8S16,Cu9Fe8S16,Tlk,
Tamboite,Fe3+3(OH)(H2O)2(SO4)(Te4+O3)3[Te4+O(OH)2](H2O)3,Fe3(OH)(H2O)2(SO4)(TeO3)3[TeO(OH)2](H2O)3,Tmb,
Tamuraite,Ir5Fe10S16,Ir5Fe10S16,,
Tancaite-(Ce),FeCe(MoO4)3·3H2O,FeCe(MoO4)3·3H2O,Tca-Ce,
Tantalite-(Fe),Fe2+Ta2O6,FeTa2O6,Ttl-Fe,
Tapiolite-(Fe),Fe2+Ta2O6,FeTa2O6,Tap-Fe,
Taramellite,"Ba4(Fe3+,Ti)4O2[B2Si8O27]Clx","Ba4(Fe,Ti)4O2[B2Si8O27]Clx",Tmel,
Tarbagataite,(K[box])CaFe2+7Ti2(Si4O12)2O2(OH)5,(K )CaFe7Ti2(Si4O12)2O2(OH)5,Tbg,
Tarkianite,"(Cu,Fe)(Re,Mo)4S8","(Cu,Fe)(Re,Mo)4S8",Trk,
Taseqite,"Na12Sr3Ca6Fe3Zr3NbSi25O73(O,OH,H2O)3Cl2","Na12Sr3Ca6Fe3Zr3NbSi25O73(O,OH,H2O)3Cl2",Tsq,
Tashelgite,CaMgFe2+Al9O16(OH),CaMgFeAl9O16(OH),Thg,
Tassieite,NaCa2Mg3Fe2+2Fe3+(PO4)6·2H2O,NaCa2Mg3Fe2Fe(PO4)6·2H2O,Tas,
Tavorite,LiFe3+(PO4)(OH),LiFe(PO4)(OH),Tav,LiFePO4OH
Telluromandarinoite,Fe3+2(Te4+O3)3·6H2O,Fe2(TeO3)3·6H2O,Tmda,
Tennantite-(Fe),Cu6(Cu4Fe2)As4S13,Cu6(Cu4Fe2)As4S13,Tnt-Fe,"(Cu,Fe)12As4S13"
Tetraferriannite,KFe2+3(Si3Fe3+)O10(OH)2,KFe3(Si3Fe)O10(OH)2,Tfann,
Tetraferriphlogopite,KMg3(Si3Fe3+)O10(OH)2,KMg3(Si3Fe)O10(OH)2,Tfphl,
Tetraferroplatinum,PtFe,PtFe,Tfpt,
Tetrahedrite-(Fe),Cu6(Cu4Fe2)Sb4S13,Cu6(Cu4Fe2)Sb4S13,Ttr-Fe,
Tetrataenite,FeNi,FeNi,Ttae,
Thalcusite,"(Cu,Fe)4Tl2S4","(Cu,Fe)4Tl2S4",Thl,
Thalfenisite,"Tl6(Fe,Ni)25S26Cl","Tl6(Fe,Ni)25S26Cl",Tfn,
Thalliumpharmacosiderite,TlFe4[(AsO4)3(OH)4]·4H2O,TlFe4[(AsO4)3(OH)4]·4H2O,Tpsd,
Therasiaite,(NH4)3KNa2Fe2+Fe3+(SO4)3Cl5,(NH4)3KNa2FeFe(SO4)3Cl5,The,(NH4)3KNa2Fe2(SO4)3Cl5
Tiettaite,K4Na12Fe3+2Si16O41(OH)4·2H2O,K4Na12Fe2Si16O41(OH)4·2H2O,Tie,
Tinticite,Fe3+3(PO4)2(OH)3·3H2O,Fe3(PO4)2(OH)3·3H2O,Ttc,
Titanomaghemite,(Ti0.5[box]0.5)Fe3+2O4,(Ti0.5 0.5)Fe2O4,Tmgh,
Titantaramellite,"Ba4(Ti,Fe3+,Mg)4(O,OH)2[B2Si8O27]Clx","Ba4(Ti,Fe,Mg)4(O,OH)2[B2Si8O27]Clx",Ttmel,
Tochilinite,"6(Fe0.9S)·5[(Mg,Fe)(OH)2]","6(Fe0.9S)·5[(Mg,Fe)(OH)2]",Thi,
Toledoite,TiFeSi,TiFeSi,Tld,
Tooeleite,Fe3+6(AsO3)4(SO4)(OH)4·4H2O,Fe6(AsO3)4(SO4)(OH)4·4H2O,Toe,
Topsoeite,FeF3(H2O)3,FeF3(H2O)3,Top,
Toturite,Ca3Sn2(SiFe3+2)O12,Ca3Sn2(SiFe2)O12,Tot,
Toyohaite,Ag1+(Fe2+0.5Sn4+1.5)S4,Ag(Fe0.5Sn1.5)S4,To,
Tranquillityite,Fe2+8Ti3Zr2Si3O24,Fe8Ti3Zr2Si3O24,Trq,
Traskite,"Ba21Ca(Fe2+,Mn,Ti)4(Ti,Fe,Mg)12(Si12O36)(Si2O7)6(O,OH)30Cl6·14H2O","Ba21Ca(Fe,Mn,Ti)4(Ti,Fe,Mg)12(Si12O36)(Si2O7)6(O,OH)30Cl6·14H2O",Tsk,
Trattnerite,Fe3+2(Mg3Si12)O30,Fe2(Mg3Si12)O30,Tra,
Trebeurdenite,Fe2+2Fe3+4O2(OH)10(CO3)·3H2O,Fe2Fe4O2(OH)10(CO3)·3H2O,Tré,
Tremolite,[box]Ca2(Mg5.0-4.5Fe2+0.0-0.5)Si8O22(OH)2," Ca2(Mg5.0-4.5Fe0.0-0.5)Si8O22(OH)2",Tr,
Trevorite,NiFe3+2O4,NiFe2O4,Trv,
Triphylite,LiFe2+(PO4),LiFe(PO4),Trp,LiFePO4
Tripuhyite,Fe3+Sb5+O4,FeSbO4,Tpy,
Tristramite,"(Ca,U4+,Fe3+)(PO4,SO4)·2H2O","(Ca,U,Fe)(PO4,SO4)·2H2O",Ttm,
Troilite,FeS,FeS,Tro,
Tschaunerite,(Fe2+)(Fe2+Ti4+)O4,(Fe)(FeTi)O4,Tsc,
Tuhualite,NaFe2+Fe3+Si6O15,NaFeFeSi6O15,Tuh,NaFe2Si6O15
Tulameenite,Pt2CuFe,Pt2CuFe,Tul,
Tululite,"Ca14(Fe3+,Al)(Al,Zn,Fe3+,Si,P,Mn,Mg)15O36","Ca14(Fe,Al)(Al,Zn,Fe,Si,P,Mn,Mg)15O36",Tlu,
Tungusite,Ca14Fe2+9Si24O60(OH)22,Ca14Fe9Si24O60(OH)22,Tgu,
Tuperssuatsiaite,"Na2(Fe3+,Mn2+)3Si8O20(OH)2·4H2O","Na2(Fe,Mn)3Si8O20(OH)2·4H2O",Tup,
Tvrdyite,Fe2+Fe3+2Al3(PO4)4(OH)5(H2O)4·2H2O,FeFe2Al3(PO4)4(OH)5(H2O)4·2H2O,Tvr,Fe3Al3(PO4)4(OH)5(H2O)4·2H2O
Uedaite-(Ce),Mn2+CeAl2Fe2+(Si2O7)(SiO4)O(OH),MnCeAl2Fe(Si2O7)(SiO4)O(OH),Ued-Ce,
Ulvospinel,Fe2+2TiO4,Fe2TiO4,Uspl,
Ungemachite,K3Na8Fe3+(SO4)6(NO3)2·6H2O,K3Na8Fe(SO4)6(NO3)2·6H2O,Ugm,
Ushkovite,MgFe3+2(PO4)2(OH)2·8H2O,MgFe2(PO4)2(OH)2·8H2O,Ukv,
Usturite,Ca3(SbZr)(FeO4)3,Ca3(SbZr)(FeO4)3,Ust,
Valleriite,"2[(Fe,Cu)S]·1.53[(Mg,Al)(OH)2]","2[(Fe,Cu)S]·1.53[(Mg,Al)(OH)2]",Val,
Valleyite,Ca4Fe6O13,Ca4Fe6O13,Vly,
Vanadoallanite-(La),CaLa3+V3+AlFe2+(Si2O7)(SiO4)O(OH),CaLaVAlFe(Si2O7)(SiO4)O(OH),Valn-La,
Varlamoffite,"(Sn,Fe)(O,OH)2","(Sn,Fe)(O,OH)2",Vlm,
Varulite,Na2Mn(MnFe3+)(PO4)3,Na2Mn(MnFe)(PO4)3,Vr,
Vauxite,Fe2+Al2(PO4)2(OH)2·6H2O,FeAl2(PO4)2(OH)2·6H2O,Vx,
Veblenite,K2[box]2Na(Fe2+5Fe3+4Mn7[box])Nb3Ti(Si2O7)2(Si8O22)2O6(OH)10(H2O)3,K2 2Na(Fe5Fe4Mn7 )Nb3Ti(Si2O7)2(Si8O22)2O6(OH)10(H2O)3,Veb,
Vermiculite,"Mg0.7(Mg,Fe,Al)6(Si,Al)8O20(OH)4·8H2O","Mg0.7(Mg,Fe,Al)6(Si,Al)8O20(OH)4·8H2O",Vrm,
Vernadite,"(Mn,Fe,Ca,Na)(O,OH)2·nH2O","(Mn,Fe,Ca,Na)(O,OH)2·nH2O",Vnd,
Versiliaite,(Fe2+2Fe3+2)(Fe3+2Sb3+6)O16S,(Fe2Fe2)(Fe2Sb6)O16S,Vsl,
Vestaite,(Ti4+Fe2+)Ti4+3O9,(TiFe)Ti3O9,Vst,
Vesuvianite,"(Ca,Na)19(Al,Mg,Fe)13(SiO4)10(Si2O7)4(OH,F,O)10","(Ca,Na)19(Al,Mg,Fe)13(SiO4)10(Si2O7)4(OH,F,O)10",Ves,
Viaeneite,"(Fe,Pb)4S8O","(Fe,Pb)4S8O",Via,
Vicanite-(Ce),"(Ca,Ce,La,Th)15As5+(As3+,Na)0.5Fe3+0.7Si6B4(O,F)47","(Ca,Ce,La,Th)15As(As,Na)0.5Fe0.7Si6B4(O,F)47",Vic-Ce,
Vinciennite,Cu10Fe4SnAsS16,Cu10Fe4SnAsS16,Vcn,
Violarite,FeNi2S4,FeNi2S4,Vio,
Vivianite,Fe2+3(PO4)2·8H2O,Fe3(PO4)2·8H2O,Viv,
Vladykinite,Na3Sr4(Fe2+Fe3+)Si8O24,Na3Sr4(FeFe)Si8O24,Vdy,Na3Sr4Fe2Si8O24
Vochtenite,Fe2+Fe3+(UO2)4(PO4)4(OH)·12-13H2O,FeFe(UO2)4(PO4)4(OH)·12-13H2O,Voc,Fe2(UO2)4(PO4)4(OH)·12-13H2O
Volaschioite,Fe4(SO4)O2(OH)6·2H2O,Fe4(SO4)O2(OH)6·2H2O,Vsh,
Voltaite,K2Fe2+5Fe3+3Al(SO4)12·18H2O,K2Fe5Fe3Al(SO4)12·18H2O,Vlt,
Vonsenite,Fe2+2Fe3+O2(BO3),Fe2FeO2(BO3),Von,
Voronkovite,"Na15(Na,Ca,Ce)3(Mn,Ca)3Fe3Zr3Si26O72(OH,O)4Cl·H2O","Na15(Na,Ca,Ce)3(Mn,Ca)3Fe3Zr3Si26O72(OH,O)4Cl·H2O",Vrk,
Vyalsovite,CaFeAlS(OH)5,CaFeAlS(OH)5,Vyl,
Wairauite,CoFe,CoFe,Wra,
Walentaite,[Mn(H2O)6][[box]As3+3Fe3+3(PO4)2O7],[Mn(H2O)6][ As3Fe3(PO4)2O7],Wlt,
Walfordite,"(Fe3+,Te6+,Ti4+,Mg)Te4+3O8","(Fe,Te,Ti,Mg)Te3O8",Wfd,
Wallkilldellite-(Fe),Ca2Fe2+3(AsO4)2(OH)4·9H2O,Ca2Fe3(AsO4)2(OH)4·9H2O,Wlk-Fe,
Wangdaodeite,FeTiO3,FeTiO3,Wdd,
Warwickite,"(Mg,Ti,Fe,Cr,Al)2O(BO3)","(Mg,Ti,Fe,Cr,Al)2O(BO3)",Wwk,
Welshite,Ca4[Mg9Sb5+3]O4[Si6Be3AlFe3+2O36],Ca4[Mg9Sb3]O4[Si6Be3AlFe2O36],Wel,
Wernerkrauseite,CaFe3+2Mn4+O6,CaFe2MnO6,Wkr,
Westerveldite,FeAs,FeAs,Wvd,
Whitecapsite,H16Fe2+5Fe3+14Sb3+6(AsO4)18O16·120H2O,H16Fe5Fe14Sb6(AsO4)18O16·120H2O,Wcp,
Whiteite-(CaFeMg),CaFe2+Mg2Al2(PO4)4(OH)2·8H2O,CaFeMg2Al2(PO4)4(OH)2·8H2O,Wt-CaFeMg,
Whiteite-(CaMnFe),CaMnFe2Al2(PO4)4(OH)2·8H2O,CaMnFe2Al2(PO4)4(OH)2·8H2O,Wt-CaMnFe,
Whiteite-(MnFeMg),Mn2+Fe2+Mg2Al2(PO4)4(OH)2·8H2O,MnFeMg2Al2(PO4)4(OH)2·8H2O,Wt-MnFeMg,
Whitmoreite,Fe2+Fe3+2(PO4)2(OH)2·4H2O,FeFe2(PO4)2(OH)2·4H2O,Whm,Fe3(PO4)2(OH)2·4H2O
Wicksite,"NaCa2Fe2+2(Fe3+,Mn2+,Fe2+)4(PO4)6·2H2O","NaCa2Fe2(Fe,Mn,Fe)4(PO4)6·2H2O",Wic,
Wiklundite,"Pb2(Mn2+,Zn)3(Fe3+,Mn2+)2(Mn2+,Mg)19(As3+O3)2[(Si,As5+)O4]6(OH)18Cl6","Pb2(Mn,Zn)3(Fe,Mn)2(Mn,Mg)19(AsO3)2[(Si,As)O4]6(OH)18Cl6",Wik,
Wildcatite,CaFe3+Te6+O5(OH),CaFeTeO5(OH),Wct,
Wildenauerite,Zn(Fe3+0.5Mn2+0.5)2Mn2+Fe3+(PO4)3(OH)3(H2O)8,Zn(Fe0.5Mn0.5)2MnFe(PO4)3(OH)3(H2O)8,Wda,
Wilhelmgumbelite,[ZnFe2+Fe3+3(PO4)3(OH)4(H2O)5]·2H2O,[ZnFeFe3(PO4)3(OH)4(H2O)5]·2H2O,Wgü,[ZnFe4(PO4)3(OH)4(H2O)5]·2H2O
Wilhelmkleinite,ZnFe3+2(AsO4)2(OH)2,ZnFe2(AsO4)2(OH)2,Wkl,
Wilhelmramsayite,Cu3FeS3·2H2O,Cu3FeS3·2H2O,Wrm,
Wilhelmvierlingite,CaMn2+Fe3+(PO4)2(OH)·2H2O,CaMnFe(PO4)2(OH)·2H2O,Wvl,
Wilkinsonite,Na4[Fe2+8Fe3+4]O4[Si12O36],Na4[Fe8Fe4]O4[Si12O36],Wkn,
Windhoekite,Ca2Fe3+3-x[Si8O20](OH)4·10H2O,Ca2Fe3-x[Si8O20](OH)4·10H2O,Whk,
Windmountainite,[box]Fe3+2Mg2Si8O20(OH)2·8H2O," Fe2Mg2Si8O20(OH)2·8H2O",Wmt,
Wolfeite,Fe2+2(PO4)(OH),Fe2(PO4)(OH),Wol,
Wonesite,"(Na,K,[box])(Mg,Fe,Al)6(Si,Al)8O20(OH,F)4","(Na,K, )(Mg,Fe,Al)6(Si,Al)8O20(OH,F)4",Wns,
Wustite,FeO,FeO,Wüs,Fe1-xO, Fe2+O
Wyllieite,NaNaMn(Fe2+Al)(PO4)3,NaNaMn(FeAl)(PO4)3,Wyl,
Xanthoxenite,Ca4Fe3+2(PO4)4(OH)2·3H2O,Ca4Fe2(PO4)4(OH)2·3H2O,Xox,
Xenophyllite,Na4Fe7(PO4)6,Na4Fe7(PO4)6,Xp,
Xiangjiangite,Fe3+(UO2)4(PO4)2(SO4)2(OH)·22H2O,Fe(UO2)4(PO4)2(SO4)2(OH)·22H2O,Xjg,
Xieite,FeCr2O4,FeCr2O4,Xi,
Xifengite,Fe5Si3,Fe5Si3,Xif,
Xitieshanite,Fe3+(SO4)Cl·6H2O,Fe(SO4)Cl·6H2O,Xit,
Xuite,Ca3Fe2[AlO3(OH)]3,Ca3Fe2[AlO3(OH)]3,Xu,
Xuwenyuanite,Ag9Fe3+Te2S4,Ag9FeTe2S4,Xuw,
Yakhontovite,"(Ca,Na,K)0.2(Cu,Fe,Mg)2Si4O10(OH)2·3H2O","(Ca,Na,K)0.2(Cu,Fe,Mg)2Si4O10(OH)2·3H2O",Ykh,
Yakubovichite,CaNi2Fe3+(PO4)3,CaNi2Fe(PO4)3,Ybv,
Yarlongite,(Cr4Fe4Ni)C4,(Cr4Fe4Ni)C4,Ylg,
Yavapaiite,KFe3+(SO4)2,KFe(SO4)2,Yav,
Yazganite,[box]NaMgFe3+2(AsO4)3·H2O," NaMgFe2(AsO4)3·H2O",Yaz,
Yecoraite,Fe3+3Bi5O9(Te4+O3)(Te6+O4)2·9H2O,Fe3Bi5O9(TeO3)(TeO4)2·9H2O,Yec,
Yimengite,K[Ti3Cr5Fe3+2Mg2]O19,K[Ti3Cr5Fe2Mg2]O19,Yim,
Yttrocolumbite-(Y),"(Y,U,Fe2+)(Nb,Ta)O4","(Y,U,Fe)(Nb,Ta)O4",Yclb-Y,
Yttrocrasite-(Y),"(Y,Th,Ca,U)(Ti,Fe)2(O,OH)6","(Y,Th,Ca,U)(Ti,Fe)2(O,OH)6",Ycr-Y,
Yttrotantalite-(Y),"(Y,U,Fe2+)(Ta,Nb)(O,OH)4","(Y,U,Fe)(Ta,Nb)(O,OH)4",Yttl-Y,
Yttrotungstite-(Y),"Y(W,Fe,Si,Al,Ti)2(O,OH,H2O)9","Y(W,Fe,Si,Al,Ti)2(O,OH,H2O)9",Ytgs-Y,
Yuanfuliite,"Mg(Fe3+,Al)O(BO3)","Mg(Fe,Al)O(BO3)",Yfl,
Yukonite,Ca2Fe3+3(AsO4)3(OH)4·4H2O,Ca2Fe3(AsO4)3(OH)4·4H2O,Yuk,
Yuksporite,"K4(Ca,Na)14(Sr,Ba)2([box],Mn,Fe)(Ti,Nb)4(O,OH)4(Si6O17)2(Si2O7)3(H2O,OH)3","K4(Ca,Na)14(Sr,Ba)2( ,Mn,Fe)(Ti,Nb)4(O,OH)4(Si6O17)2(Si2O7)3(H2O,OH)3",Yks,
Yurmarinite,"Na7(Fe3+,Mg,Cu)4(AsO4)6","Na7(Fe,Mg,Cu)4(AsO4)6",Ymr,
Yuzuxiangite,Sr3Fe3+(Si2O6)2(OH)·3H2O,Sr3Fe(Si2O6)2(OH)·3H2O,Yuz,
Zairite,BiFe3+3(PO4)2(OH)6,BiFe3(PO4)2(OH)6,Zaï,
Zangboite,TiFeSi2,TiFeSi2,Zgb,
Zemannite,Mg0.5ZnFe3+(Te4+O3)3·<i>n</i>H2O (3≤<i>n</i>≤0.5),Mg0.5ZnFe(TeO3)3·nH2O,Zem,
Zenzenite,Pb3Fe3+4Mn4+3O15,Pb3Fe4Mn3O15,Zen,
Zhengminghuaite,Cu6Fe3As4S12,Cu6Fe3As4S12,Zmh,
Ziminaite,Fe3+(VO4),Fe(VO4),Zim,
Zinclipscombite,ZnFe3+2(PO4)2(OH)2,ZnFe2(PO4)2(OH)2,Zlcb,
Zincoberaunite,ZnFe3+5(PO4)4(OH)5·6H2O,ZnFe5(PO4)4(OH)5·6H2O,Zbru,
Zincobotryogen,ZnFe3+(SO4)2(OH)·7H2O,ZnFe(SO4)2(OH)·7H2O,Zbyg,
Zincobriartite,"Cu2(Zn,Fe)(Ge,Ga)S4","Cu2(Zn,Fe)(Ge,Ga)S4",Zbtt,
Zincocopiapite,ZnFe3+4(SO4)6(OH)2·20H2O,ZnFe4(SO4)6(OH)2·20H2O,Zcpi,
Zincohogbomite-2N2S,"(Zn,Al,Fe)3(Al,Fe,Ti)8O15(OH)","(Zn,Al,Fe)3(Al,Fe,Ti)8O15(OH)",Zhög-2N2S,
Zincohogbomite-2N6S,"(Zn,Al)7(Al,Fe3+,Ti,Mg)16O31(OH)","(Zn,Al)7(Al,Fe,Ti,Mg)16O31(OH)",Zhög-2N6S,
Zincostrunzite,ZnFe3+2(PO4)2(OH)2·6.5H2O,ZnFe2(PO4)2(OH)2·6.5H2O,Zstz,
Zincovelesite-6N6S,"Zn3(Fe3+,Mn3+,Al,Ti)8O15(OH)","Zn3(Fe,Mn,Al,Ti)8O15(OH)",Zcv-6N6S,
Zincovoltaite,K2Zn5Fe3+3Al(SO4)12·18H2O,K2Zn5Fe3Al(SO4)12·18H2O,Zvlt,
Zinkgruvanite,Ba4Mn2+4Fe3+2(Si2O7)2(SO4)2O2(OH)2,Ba4Mn4Fe2(Si2O7)2(SO4)2O2(OH)2,Zgv,
Zircophyllite,K2NaFe2+7Zr2(Si4O12)2O2(OH)4F,K2NaFe7Zr2(Si4O12)2O2(OH)4F,Zcp,
Zirklerite,"(Fe,Mg)9Al4Cl18(OH)12·14H2O (?)","(Fe,Mg)9Al4Cl18(OH)12·14H2O (?)",Zkl,
Zodacite,Ca4Mn2+Fe3+4(PO4)6(OH)4·12H2O,Ca4MnFe4(PO4)6(OH)4·12H2O,Zod,
Zoharite,"(Ba,K)6(Fe,Cu,Ni)25S27","(Ba,K)6(Fe,Cu,Ni)25S27",Zoh,
Zolenskyite,FeCr2S4,FeCr2S4,Zsk,
Zuktamrurite,FeP2,FeP2,Zuk,
Zussmanite,"K(Fe,Mg,Mn)13(Si,Al)18O42(OH)14","K(Fe,Mg,Mn)13(Si,Al)18O42(OH)14",Zus,
Zvestovite-(Fe),Ag6(Ag4Fe2)As4S13,Ag6(Ag4Fe2)As4S13,Zvĕ-Fe,
Zwieselite,Fe2+2(PO4)F,Fe2(PO4)F,Zwi,Fe2PO4F
Zykaite,Fe3+4(AsO4)3(SO4)(OH)·15H2O,Fe4(AsO4)3(SO4)(OH)·15H2O,Zýk,
Iron,Fe,Fe,,"iron powder","iron(0)","α-Fe"
Green Rust sulfate,Fe3H14.472O12.236S0.5,,,GR-SO4,GR(SO4),GR(SO4 2-),GR2(SO4)
chloride Green Rust,Fe(II)3Fe(III)(OH)8Cl,Fe3Fe(OH)8Cl,GR(Cl),GR(Cl-),GR1(Cl)